DATE,JDAY,TA,RN,ST
2018-01-19 09,19.375,0.3,-999,堡林
2018-01-19 10,19.4166666666667,2.5,-999,堡林
2018-01-19 11,19.4583333333333,4.6,-999,堡林
2018-01-19 12,19.5,5.5,-999,堡林
2018-01-19 13,19.5416666666667,7,-999,堡林
2018-01-19 14,19.5833333333333,7.6,-999,堡林
2018-01-19 15,19.625,8.4,-999,堡林
2018-01-19 16,19.6666666666667,7.3,-999,堡林
2018-01-19 17,19.7083333333333,6.1,-999,堡林
2018-01-19 18,19.75,4.4,-999,堡林
2018-01-19 19,19.7916666666667,3,-999,堡林
2018-01-19 20,19.8333333333333,2.5,-999,堡林
2018-01-19 21,19.875,1.1,-999,堡林
2018-01-19 22,19.9166666666667,0.3,-999,堡林
2018-01-19 23,19.9583333333333,-0.1,-999,堡林
2018-01-20 00,20,0.1,-999,堡林
2018-01-20 01,20.0416666666667,-0.7,-999,堡林
2018-01-20 02,20.0833333333333,-0.4,-999,堡林
2018-01-20 03,20.125,-1,-999,堡林
2018-01-20 04,20.1666666666667,-1.6,-999,堡林
2018-01-20 05,20.2083333333333,-2.4,-999,堡林
2018-01-20 06,20.25,-2.1,-999,堡林
2018-01-20 07,20.2916666666667,-3.1,-999,堡林
2018-01-20 08,20.3333333333333,-2.9,-999,堡林
2018-01-20 09,20.375,-1.3,-999,堡林
2018-01-20 10,20.4166666666667,0.9,-999,堡林
2018-01-20 11,20.4583333333333,3,-999,堡林
2018-01-20 12,20.5,5.3,-999,堡林
2018-01-20 13,20.5416666666667,7.8,-999,堡林
2018-01-20 14,20.5833333333333,8,-999,堡林
2018-01-20 15,20.625,8.8,-999,堡林
2018-01-20 16,20.6666666666667,8.7,-999,堡林
2018-01-20 17,20.7083333333333,7.7,-999,堡林
2018-01-20 18,20.75,6.8,-999,堡林
2018-01-20 19,20.7916666666667,5.8,-999,堡林
2018-01-20 20,20.8333333333333,4.9,-999,堡林
2018-01-20 21,20.875,4,-999,堡林
2018-01-20 22,20.9166666666667,4,-999,堡林
2018-01-20 23,20.9583333333333,3.1,-999,堡林
2018-01-21 00,21,2.4,-999,堡林
2018-01-21 01,21.0416666666667,1.6,-999,堡林
2018-01-21 02,21.0833333333333,1.5,-999,堡林
2018-01-21 03,21.125,1.1,-999,堡林
2018-01-21 04,21.1666666666667,0.2,-999,堡林
2018-01-21 05,21.2083333333333,-0.2,-999,堡林
2018-01-21 06,21.25,-0.8,-999,堡林
2018-01-21 07,21.2916666666667,-1,-999,堡林
2018-01-21 08,21.3333333333333,-1,-999,堡林
2018-01-21 09,21.375,-0.4,-999,堡林
2018-01-21 10,21.4166666666667,1.1,-999,堡林
2018-01-21 11,21.4583333333333,3.3,-999,堡林
2018-01-21 12,21.5,5.6,-999,堡林
2018-01-21 13,21.5416666666667,8.1,-999,堡林
2018-01-21 14,21.5833333333333,9.5,-999,堡林
2018-01-21 15,21.625,9.2,-999,堡林
2018-01-21 16,21.6666666666667,8.8,-999,堡林
2018-01-21 17,21.7083333333333,8,-999,堡林
2018-01-21 18,21.75,6.2,-999,堡林
2018-01-21 19,21.7916666666667,6.1,-999,堡林
2018-01-21 20,21.8333333333333,5.5,-999,堡林
2018-01-21 21,21.875,5.4,-999,堡林
2018-01-21 22,21.9166666666667,5,-999,堡林
2018-01-21 23,21.9583333333333,4.3,-999,堡林
2018-01-22 00,22,3.6,-999,堡林
2018-01-22 01,22.0416666666667,3.5,-999,堡林
2018-01-22 02,22.0833333333333,3.7,-999,堡林
2018-01-22 03,22.125,3.6,-999,堡林
2018-01-22 04,22.1666666666667,3.4,-999,堡林
2018-01-22 05,22.2083333333333,3.4,-999,堡林
2018-01-22 06,22.25,3.2,-999,堡林
2018-01-22 07,22.2916666666667,3.7,-999,堡林
2018-01-22 08,22.3333333333333,3.7,-999,堡林
2018-01-22 09,22.375,4.5,-999,堡林
2018-01-22 10,22.4166666666667,5.6,-999,堡林
2018-01-22 11,22.4583333333333,6.5,-999,堡林
2018-01-22 12,22.5,7.2,-999,堡林
2018-01-22 13,22.5416666666667,9.1,-999,堡林
2018-01-22 14,22.5833333333333,10.2,-999,堡林
2018-01-22 15,22.625,9.6,-999,堡林
2018-01-22 16,22.6666666666667,9.2,-999,堡林
2018-01-22 17,22.7083333333333,8.2,-999,堡林
